fecha,tipo,subtipo,subtipo_normalizado,ciudad,calle,lat,lon
2025-04-30 19:22:42,Conversación,,Otro,Macul,Exequiel Fernández,-33.50868,-70.604261
2025-04-30 19:24:18,Peligro,HAZARD_ON_ROAD_CONSTRUCTION,Otro,Ñuñoa,Rodrigo de Araya,-33.473709,-70.598984
2025-04-30 19:24:50,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Las Condes,Camino El Alba,-33.406319,-70.54391
2025-04-30 19:22:04,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Las Condes,Av. Las Condes,-33.37607,-70.525083
2025-04-30 19:21:57,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Las Condes,Estoril,-33.390016,-70.526497
2025-04-30 19:23:31,Peligro,HAZARD_ON_ROAD_CONSTRUCTION,Otro,Las Condes,Vital Apoquindo,-33.417668,-70.52949
2025-04-30 19:22:48,Peligro,HAZARD_ON_ROAD_CONSTRUCTION,Otro,Peñalolén,Av. Grecia,-33.476253,-70.540427
2025-04-30 19:22:05,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,Las Condes,Estoril,-33.389588,-70.526916
2025-04-30 19:21:31,Policía,,Otro,Las Condes,Camino La Fuente,-33.394137,-70.522127
2025-04-30 19:20:06,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,San Bernardo,Av. Portales,-33.606059,-70.697318
2025-04-30 19:24:07,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,San Bernardo,Av. Padre Hurtado,-33.614518,-70.682731
2025-04-30 19:22:34,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,San Bernardo,Av. Padre Hurtado,-33.606866,-70.683054
2025-04-30 19:20:13,Peligro,HAZARD_ON_SHOULDER_CAR_STOPPED,Otro,San Bernardo,Av. Pdte. Jorge Alessandri Rodríguez,-33.675428,-70.724124
2025-04-30 19:24:39,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,"Nos, San Bernardo",Camino Nos a Los Morros,-33.639411,-70.679337
2025-04-30 19:25:36,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,La Pintana,Av. Santa Rosa,-33.609761,-70.626824
2025-04-30 19:21:16,Policía,,Otro,Puente Alto,,-33.631396,-70.60854
2025-04-30 19:39:07,Tráfico,JAM_STAND_STILL_TRAFFIC,Atasco,Lampa,Cacique Colin,-33.284391,-70.759174
2025-04-30 19:39:35,Tráfico,,Otro,Chicureo,Camino Chicureo,-33.286136,-70.67493
2025-04-30 19:40:24,Policía,POLICE_HIDING,Otro,Colina,Diagonal Santa Elena,-33.223137,-70.718266
2025-04-30 19:40:09,Policía,,Otro,Chicureo,Viñas de Chicureo,-33.275824,-70.668564
2025-04-30 19:40:09,Peligro,HAZARD_ON_ROAD_TRAFFIC_LIGHT_FAULT,Otro,Maipú,Av. 3 Poniente,-33.502843,-70.779659
2025-04-30 19:39:18,Policía,,Otro,Maipú,Av. Pajaritos,-33.505057,-70.757459
2025-04-30 19:41:05,Tráfico,JAM_HEAVY_TRAFFIC,Atasco,Maipú,Av. Pajaritos,-33.499699,-70.757356
